Z,Symbol,k,Experimental_IE,Theoretical_IE,Error_eV,Error_Pct
1,H,1,13.598,14.64086039324392,1.0428603932439184,7.669218953110152
2,He,1,24.587,27.540601558071316,2.953601558071316,12.012858657303925
2,He,2,54.418,58.56344157297568,4.1454415729756775,7.617776421359987
3,Li,1,5.392,4.290301525603496,-1.1016984743965041,-20.43209336788769
3,Li,2,75.64,84.04260998767822,8.402609987678218,11.108685864196481
3,Li,3,122.454,131.7677435391953,9.3137435391953,7.6059120479488636
4,Be,1,9.323,7.824116412554929,-1.4988835874450714,-16.077266839483766
4,Be,2,18.211,16.085937584719034,-2.125062415280965,-11.669114355504723
4,Be,3,153.897,169.82633920377305,15.929339203773054,10.350649592762078
4,Be,4,217.713,234.2537662919027,16.540766291902713,7.5975096994220435
5,B,1,8.298,9.54500487264636,1.2470048726463592,15.027776243026745
5,B,2,25.155,22.85151602460155,-2.30348397539845,-9.15716150029199
5,B,3,37.931,35.404300722352104,-2.526699277647893,-6.66130415134822
5,B,4,259.375,284.8917892063557,25.516789206355725,9.837798248233533
5,B,5,340.226,366.021509831098,25.795509831098002,7.581874939333854
6,C,1,11.26,11.667561709899928,0.40756170989992846,3.6195533738892403
6,C,2,24.384,26.58552292523359,2.20152292523359,9.028555303615445
6,C,3,47.888,45.40164271516585,-2.486357284834149,-5.192025736790321
6,C,4,64.494,62.24539093850274,-2.2486090614972625,-3.4865399285162377
6,C,5,392.087,429.2389599954263,37.151959995426296,9.475437848086342
6,C,6,489.993,527.0709741567812,37.07797415678118,7.567041601978229
7,N,1,14.534,14.43056701167293,-0.10343298832707148,-0.71166222875376
7,N,2,29.601,31.09690839636346,1.4959083963634612,5.05357385346259
7,N,3,47.449,51.05861295627892,3.609612956278923,7.60735306598437
7,N,4,77.474,75.47449648424754,-1.9995035157524654,-2.580870376839282
7,N,5,97.89,96.60920823317088,-1.2807917668291253,-1.3083989854215194
7,N,6,552.068,602.8678515709847,50.79985157098474,9.201738113961458
7,N,7,667.046,717.402159268952,50.356159268951956,7.549128436262559
8,O,1,13.618,15.602637444632254,1.9846374446322539,14.573633754092038
8,O,2,35.121,36.24874233201276,1.1277423320127582,3.2110199937722674
8,O,3,54.936,57.958827061284865,3.0228270612848647,5.502452055637223
8,O,4,77.414,82.96427496578167,5.550274965781668,7.169601061541411
8,O,5,113.899,113.07007733184696,-0.8289226681530408,-0.7277699261214241
8,O,6,138.12,138.49575260635652,0.37575260635651375,0.2720479339389761
8,O,7,739.327,805.7784639330309,66.45146393303094,8.988101872788487
8,O,8,871.41,937.0150651676108,65.60506516761086,7.528610546999789
9,F,1,17.423,17.415156342110784,-0.007843657889214484,-0.045018985761433074
9,F,2,34.971,39.80964139884816,4.838641398848161,13.836153952841387
9,F,3,62.708,65.49948963081093,2.791489630810929,4.451568589033184
9,F,4,87.14,92.25331770466391,5.113317704663913,5.867934019582182
9,F,5,114.243,122.30250895374229,8.059508953742295,7.054707031277449
9,F,6,157.165,158.18838525796355,1.0233852579635538,0.6511534107234778
9,F,7,185.186,187.90502405806,2.7190240580600005,1.4682665309796639
9,F,8,953.912,1037.970797081565,84.05879708156499,8.81200751029078
9,F,9,1103.117,1185.9096918527573,82.79269185275734,7.505340943232436
10,Ne,1,21.565,19.139773704109427,-2.4252262958905746,-11.24612240153292
10,Ne,2,40.963,44.01098893020413,3.047988930204127,7.440834241154523
10,Ne,3,63.45,71.44921733152239,7.999217331522388,12.60711951382567
10,Ne,4,97.12,102.18280890806605,5.062808908066046,5.212941626921381
10,Ne,5,126.21,133.98038032650084,7.770380326500842,6.1567073342055645
10,Ne,6,157.93,169.07331492016056,11.143314920160549,7.055856974710661
10,Ne,7,207.276,210.82942026259798,3.5534202625979674,1.714342356374094
10,Ne,8,239.099,244.8370225882809,5.738022588280899,2.3998521902144714
10,Ne,9,1195.828,1299.4448510165867,103.61685101658668,8.664862423073108
10,Ne,10,1362.199,1464.086039324392,101.88703932439194,7.4796002143880544
11,Na,1,5.139,5.1178127709818,-0.02118722901820025,-0.4122831099085474
11,Na,2,47.286,48.12443492607793,0.8384349260779302,1.7731145076300179
11,Na,3,71.62,78.03939349675488,6.4193934967548785,8.963129707839819
11,Na,4,98.91,110.52136524265404,11.611365242654045,11.739323872868312
11,Na,5,138.4,146.29870016377996,7.898700163779949,5.707153297528865
11,Na,6,172.18,183.14001492679472,10.960014926794713,6.3654401944446
11,Na,7,208.5,223.27669286503715,14.776692865037148,7.087142860929088
11,Na,8,264.25,270.99318234575003,6.743182345750029,2.5518192415326504
11,Na,9,299.864,309.29174819701893,9.427748197018957,3.144008015973561
11,Na,10,1465.121,1590.2006257380958,125.07962573809573,8.53715329574115
12,Mg,1,7.646,7.753805894814832,0.10780589481483194,1.4099646196028242
12,Mg,2,15.035,12.947882113548985,-2.087117886451015,-13.88172854307293
12,Mg,3,80.144,84.54166812650523,4.3976681265052235,5.487208183401406
12,Mg,4,109.265,119.50037004176261,10.235370041762607,9.36747361164381
12,Mg,5,141.27,157.02608513224402,15.75608513224401,11.153171326002695
12,Mg,6,186.76,197.84716339795037,11.087163397950377,5.936583528566277
12,Mg,7,225.02,239.7322215055474,14.712221505547376,6.538183941670685
12,Mg,8,265.96,284.91264278837116,18.95264278837118,7.126125277624899
12,Mg,9,328.06,338.6796715074197,10.619671507419696,3.2371125731328707
12,Mg,10,367.5,381.2692008842746,13.769200884274596,3.7467213290543118
13,Al,1,5.986,6.420713032245658,0.43471303224565805,7.262162249342767
13,Al,2,18.829,17.11759157227607,-1.7114084277239314,-9.089215718965061
13,Al,3,28.448,24.348054656520617,-4.0999453434793836,-14.412068839564762
13,Al,4,119.992,128.39147330538992,8.399473305389918,7.000027756342021
13,Al,5,153.825,168.39391856522775,14.568918565227762,9.471099343557784
13,Al,6,190.49,210.96337700029142,20.473377000291407,10.747743713733742
13,Al,7,241.76,256.8281986105791,15.068198610579088,6.2327095510337065
13,Al,8,284.64,303.75700006275747,19.117000062757484,6.716202945038464
13,Al,9,330.13,353.9811646901626,23.85116469016259,7.224779538412926
13,Al,10,398.75,413.88888774760653,15.138887747606532,3.796586268992234
14,Si,1,8.152,8.042494750730839,-0.10950524926916039,-1.3432930479533904
14,Si,2,16.346,16.840054819253055,0.49405481925305494,3.02248145878536
14,Si,3,33.493,30.051480450141753,-3.441519549858249,-10.275339772066548
14,Si,4,45.142,39.318330399895785,-5.823669600104218,-12.900778875779134
14,Si,5,166.767,179.67385046273023,12.906850462730233,7.739451128059048
14,Si,6,205.267,224.72003906715213,19.453039067152133,9.47694420786202
14,Si,7,246.5,272.33324084679714,25.83324084679714,10.480016570708779
14,Si,8,303.54,323.2418058016643,19.701805801664307,6.490678593155533
14,Si,9,351.12,375.2143505984259,24.094350598425876,6.862141318758794
14,Si,10,401.37,430.48225857041234,29.112258570412337,7.253222356033668
15,P,1,10.487,10.34378103895383,-0.14321896104616982,-1.3656809482804408
15,P,2,19.769,19.789269122431506,0.02026912243150747,0.10252983171383212
15,P,3,30.203,31.389553994853486,1.1865539948534867,3.928596479996976
15,P,4,51.444,46.555472528410974,-4.888527471589029,-9.502619297855977
15,P,5,65.025,57.85870934367631,-7.166290656323696,-11.020823769817294
15,P,6,220.421,238.38879959853432,17.967799598534327,8.151582471059621
15,P,7,263.57,288.4787315475321,24.908731547532113,9.450518476128586
15,P,8,309.6,341.1356766717603,31.535676671760257,10.185942077441942
15,P,9,372.13,397.0879849712079,24.957984971207907,6.706791973559753
15,P,10,424.4,454.1042731125526,29.70427311255264,6.999121845559059
16,S,1,10.36,11.093188563582206,0.7331885635822069,7.077109687086939
16,S,2,23.338,23.417987995346856,0.07998799534685475,0.34273714691428037
16,S,3,34.79,35.6662008827243,0.876200882724298,2.5185423475834954
16,S,4,47.222,50.06921055904786,2.847210559047859,6.029415439938713
16,S,5,72.595,66.62956780708373,-5.965432192916268,-8.217414688224075
16,S,6,88.053,79.96919148786219,-8.083808512137807,-9.18061680140121
16,S,7,280.948,304.53632071278946,23.588320712789482,8.3959738858399
16,S,8,328.75,359.66999600637496,30.91999600637496,9.405321979125462
16,S,9,379.6,417.3706844751799,37.770684475179905,9.950127627813462
16,S,10,447.5,478.3667361192116,30.866736119211623,6.897594663510977
17,Cl,1,12.968,12.522100657951121,-0.4458993420488788,-3.438458837514488
17,Cl,2,23.814,25.49482810467123,1.6808281046712317,7.0581511072110175
17,Cl,3,39.61,40.622352340333826,1.0123523403338268,2.5557998998581843
17,Cl,4,53.465,55.67329003161103,2.2082900316110283,4.130347015077207
17,Cl,5,67.8,72.87902451183072,5.079024511830724,7.491186595620538
17,Cl,6,97.03,90.27376628616366,-6.7562337138363375,-6.963035879456187
17,Cl,7,114.196,105.64977683245161,-8.54622316754839,-7.483820070360074
17,Cl,8,348.28,378.116413805502,29.836413805502048,8.56678930903355
17,Cl,9,400.06,438.2938324436716,38.23383244367159,9.557024557234312
17,Cl,10,455.63,501.0382642570588,45.40826425705882,9.96603916710024
18,Ar,1,15.76,13.902167322058755,-1.8578326779412446,-11.78827841333277
18,Ar,2,27.63,28.251172783732507,0.6211727837325078,2.2481823515472596
18,Ar,3,40.74,44.02662503435056,3.286625034350557,8.067317217355319
18,Ar,4,59.81,61.95687407391656,2.146874073916557,3.5894901754164135
18,Ar,5,74.84,79.81053656908807,4.970536569088068,6.641550733682614
18,Ar,6,91.009,99.81899585320934,8.809995853209344,9.680356726487869
18,Ar,7,124.323,117.48806796564713,-6.83493203435286,-5.497721285967086
18,Ar,8,143.46,134.90046537744456,-8.559534622555447,-5.966495624254459
18,Ar,9,422.45,459.1290788766793,36.679078876679284,8.68246629818423
18,Ar,10,478.69,524.3502408594238,45.66024085942382,9.538582560618316
19,K,1,4.341,3.9625170454601175,-0.3784829545398827,-8.718796464867143
19,K,2,31.63,30.958672032537958,-0.6713279674620409,-2.1224406179640876
19,K,3,45.806,48.11040229810602,2.3044022981060195,5.030787010666768
19,K,4,60.91,66.68857935262565,5.7785793526256555,9.487078234486383
19,K,5,82.66,87.42155319608597,4.76155319608597,5.7604079313887855
19,K,6,99.4,108.07794049516087,8.677940495160868,8.730322429739305
19,K,7,117.56,130.8891245831801,13.32912458318009,11.338146123834713
19,K,8,154.88,148.27247284553232,-6.607527154467675,-4.26622362762634
19,K,9,175.817,167.7212571228447,-8.095742877155317,-4.60464168832099
19,K,10,503.8,547.5743159263103,43.774315926310294,8.688828091764647
20,Ca,1,6.113,6.05278492040452,-0.06021507959548078,-0.9850332013001926
20,Ca,2,11.872,10.203036815939413,-1.668963184060587,-14.057978302397128
20,Ca,3,50.913,52.14533413160019,1.2323341316001901,2.420470472374816
20,Ca,4,67.27,72.09978920107528,4.829789201075286,7.17970744919769
20,Ca,5,84.5,93.48069105949469,8.980691059494688,10.628036756798448
20,Ca,6,108.78,117.01638970685113,8.236389706851128,7.57160296640111
20,Ca,7,127.2,140.4755018098258,13.275501809825798,10.43671525929701
20,Ca,8,147.24,166.08941070174114,18.849410701741135,12.801827425795393
20,Ca,9,188.54,182.6269809258265,-5.913019074173491,-3.136214635713107
20,Ca,10,211.275,204.11215206864654,-7.162847931353468,-3.3902960271463582
21,Sc,1,6.562,6.333994162210729,-0.2280058377892713,-3.474639405505506
21,Sc,2,12.8,10.560392204090022,-2.239607795909979,-17.496935905546714
21,Sc,3,24.757,16.72645449767515,-8.030545502324852,-32.43747425909784
21,Sc,4,73.49,77.46215361926365,3.9721536192636506,5.405026016143219
21,Sc,5,91.65,100.21933349263486,8.569333492634854,9.350063821751068
21,Sc,6,110.68,124.40296015495039,13.722960154950385,12.398771372380182
21,Sc,7,138.0,150.74138360621023,12.741383606210235,9.232886671166836
21,Sc,8,158.1,177.00322051308467,18.903220513084676,11.95649621320979
21,Sc,9,180.03,205.41985420889614,25.38985420889614,14.103124039824552
21,Sc,10,225.18,220.55159220652422,-4.6284077934757875,-2.0554257898018418
22,Ti,1,6.828,6.6213542344739835,-0.20664576552601677,-3.0264464781197535
22,Ti,2,13.58,10.923898422701313,-2.6561015772986867,-19.55892177686809
22,Ti,3,27.492,16.56012901302529,-10.931870986974712,-39.763825792865966
22,Ti,4,43.267,29.735919106977235,-13.531080893022768,-31.273443716973137
22,Ti,5,99.3,106.9091304955174,7.609130495517405,7.662769884710379
22,Ti,6,119.53,132.46903517278474,12.939035172784742,10.824926941173548
22,Ti,7,140.8,159.45538663900368,18.655386639003666,13.249564374292374
22,Ti,8,170.4,188.59653489415965,18.19653489415964,10.678717660891808
22,Ti,9,192.1,217.66109660493385,25.56109660493385,13.306140866701641
22,Ti,10,215.92,248.88045510464872,32.96045510464873,15.265123705376404
23,V,1,6.746,6.914865137190645,0.1688651371906449,2.503189107480653
23,V,2,14.66,11.29355547176965,-3.3664445282303497,-22.963468814668143
23,V,3,29.311,15.582599923796806,-13.728400076203194,-46.83702390298248
23,V,4,46.709,29.786665831805294,-16.92233416819471,-36.229279514000964
23,V,5,65.282,46.46237360465602,-18.819626395343974,-28.82820133473848
23,V,6,128.13,140.48626476036145,12.356264760361455,9.643537626130847
23,V,7,150.6,168.8488942415322,18.248894241532213,12.117459655731881
23,V,8,173.4,198.63797051164727,25.237970511647262,14.55476961456013
23,V,9,205.8,230.58184357070664,24.781843570706627,12.041712133482326
23,V,10,230.5,262.4491300853733,31.949130085373326,13.860793963285609
24,Cr,1,6.767,7.21452687036799,0.44752687036799,6.613371809782621
24,Cr,2,16.486,11.669363351295033,-4.816636648704968,-29.216527045401964
24,Cr,3,30.96,13.7938672299897,-17.1661327700103,-55.44616527781104
24,Cr,4,49.16,29.026208952062007,-20.13379104793799,-40.95563679401544
24,Cr,5,69.46,46.73019253896564,-22.729807461034355,-32.72359265913383
24,Cr,6,90.634,66.9058179907006,-23.728182009299402,-26.180221560671935
24,Cr,7,160.18,178.1935564138031,18.013556413803087,11.245821209765943
24,Cr,8,184.7,209.35891069886998,24.658910698869988,13.350790849415262
24,Cr,9,209.3,241.9507117728848,32.65071177288479,15.599957846576585
24,Cr,10,244.4,276.69730963584027,32.297309635840264,13.214938476203052
25,Mn,1,7.434,7.520339434006019,0.0863394340060184,1.1614128868175733
25,Mn,2,15.64,12.05132206127746,-3.5886779387225403,-22.94551111715179
25,Mn,3,33.668,12.65063093160761,-21.01736906839239,-62.425356624665525
25,Mn,4,51.2,27.454548467729182,-23.74545153227082,-46.37783502396645
25,Mn,5,72.4,46.18680786870391,-26.213192131296097,-36.20606647969074
25,Mn,6,95.6,67.39070913448813,-28.20929086551186,-29.50762642835969
25,Mn,7,119.203,91.06625226512551,-28.13674773487449,-23.60406007808066
25,Mn,8,194.5,220.0310054558314,25.531005455831405,13.126480954154966
25,Mn,9,221.8,253.9990845448017,32.19908454480168,14.517170669432677
25,Mn,10,248.3,289.39361042271264,41.09361042271263,16.549984060697795
26,Fe,1,7.902,7.832302828093816,-0.06969717190618407,-0.8820193863095934
